file,makespan,status,solve_time,total_time
j9010_1.data,N/A,error,0.00,0.03
j9010_10.data,N/A,error,0.00,0.00
j9010_2.data,N/A,error,0.00,0.00
j9010_3.data,N/A,error,0.00,0.01
j9010_4.data,N/A,error,0.00,0.00
j9010_5.data,N/A,error,0.00,0.00
j9010_6.data,N/A,error,0.00,0.00
j9010_7.data,N/A,error,0.00,0.00
j9010_8.data,N/A,error,0.00,0.00
j9010_9.data,N/A,error,0.00,0.00
j9011_1.data,N/A,error,0.00,0.00
j9011_10.data,N/A,error,0.00,0.01
j9011_2.data,N/A,error,0.00,0.00
j9011_3.data,N/A,error,0.00,0.00
j9011_4.data,N/A,error,0.00,0.00
j9011_5.data,N/A,error,0.00,0.00
j9011_6.data,N/A,error,0.00,0.00
j9011_7.data,N/A,error,0.00,0.00
j9011_8.data,N/A,error,0.00,0.00
j9011_9.data,N/A,error,0.00,0.00
j9012_1.data,N/A,error,0.00,0.00
j9012_10.data,N/A,error,0.00,0.01
j9012_2.data,N/A,error,0.00,0.00
j9012_3.data,N/A,error,0.00,0.00
j9012_4.data,N/A,error,0.00,0.00
j9012_5.data,N/A,error,0.00,0.00
j9012_6.data,N/A,error,0.00,0.00
j9012_7.data,N/A,error,0.00,0.00
j9012_8.data,N/A,error,0.00,0.00
j9012_9.data,N/A,error,0.00,0.00
j9013_1.data,N/A,error,0.00,0.00
j9013_10.data,N/A,error,0.00,0.00
j9013_2.data,N/A,error,0.00,0.00
j9013_3.data,N/A,error,0.00,0.01
j9013_4.data,N/A,error,0.00,0.00
j9013_5.data,N/A,error,0.00,0.00
j9013_6.data,N/A,error,0.00,0.00
j9013_7.data,N/A,error,0.00,0.00
j9013_8.data,N/A,error,0.00,0.00
j9013_9.data,N/A,error,0.00,0.01
j9014_1.data,N/A,error,0.00,0.00
j9014_10.data,N/A,error,0.00,0.00
j9014_2.data,N/A,error,0.00,0.00
j9014_3.data,N/A,error,0.00,0.00
j9014_4.data,N/A,error,0.00,0.00
j9014_5.data,N/A,error,0.00,0.01
j9014_6.data,N/A,error,0.00,0.00
j9014_7.data,N/A,error,0.00,0.00
j9014_8.data,N/A,error,0.00,0.00
j9014_9.data,N/A,error,0.00,0.00
j9015_1.data,N/A,error,0.00,0.00
j9015_10.data,N/A,error,0.00,0.00
j9015_2.data,N/A,error,0.00,0.00
j9015_3.data,N/A,error,0.00,0.00
j9015_4.data,N/A,error,0.00,0.00
j9015_5.data,N/A,error,0.00,0.00
j9015_6.data,N/A,error,0.00,0.00
j9015_7.data,N/A,error,0.00,0.01
j9015_8.data,N/A,error,0.00,0.00
j9015_9.data,N/A,error,0.00,0.00
j9016_1.data,N/A,error,0.00,0.00
j9016_10.data,N/A,error,0.00,0.00
j9016_2.data,N/A,error,0.00,0.00
j9016_3.data,N/A,error,0.00,0.00
j9016_4.data,N/A,error,0.00,0.00
j9016_5.data,N/A,error,0.00,0.00
j9016_6.data,N/A,error,0.00,0.00
j9016_7.data,N/A,error,0.00,0.00
j9016_8.data,N/A,error,0.00,0.00
j9016_9.data,N/A,error,0.00,0.01
j9017_1.data,N/A,error,0.00,0.00
j9017_10.data,N/A,error,0.00,0.00
j9017_2.data,N/A,error,0.00,0.00
j9017_3.data,N/A,error,0.00,0.00
j9017_4.data,N/A,error,0.00,0.00
j9017_5.data,N/A,error,0.00,0.00
j9017_6.data,N/A,error,0.00,0.00
j9017_7.data,N/A,error,0.00,0.00
j9017_8.data,N/A,error,0.00,0.00
j9017_9.data,N/A,error,0.00,0.00
j9018_1.data,N/A,error,0.00,0.00
j9018_10.data,N/A,error,0.00,0.01
j9018_2.data,N/A,error,0.00,0.00
j9018_3.data,N/A,error,0.00,0.00
j9018_4.data,N/A,error,0.00,0.00
j9018_5.data,N/A,error,0.00,0.00
j9018_6.data,N/A,error,0.00,0.00
j9018_7.data,N/A,error,0.00,0.00
j9018_8.data,N/A,error,0.00,0.00
j9018_9.data,N/A,error,0.00,0.00
j9019_1.data,N/A,error,0.00,0.00
j9019_10.data,N/A,error,0.00,0.00
j9019_2.data,N/A,error,0.00,0.00
j9019_3.data,N/A,error,0.00,0.01
j9019_4.data,N/A,error,0.00,0.00
j9019_5.data,N/A,error,0.00,0.00
j9019_6.data,N/A,error,0.00,0.00
j9019_7.data,N/A,error,0.00,0.00
j9019_8.data,N/A,error,0.00,0.00
j9019_9.data,N/A,error,0.00,0.00
j901_1.data,N/A,error,0.00,0.00
j901_10.data,N/A,error,0.00,0.00
j901_2.data,N/A,error,0.00,0.00
j901_3.data,N/A,error,0.00,0.00
j901_4.data,N/A,error,0.00,0.00
j901_5.data,N/A,error,0.00,0.01
j901_6.data,N/A,error,0.00,0.00
j901_7.data,N/A,error,0.00,0.00
j901_8.data,N/A,error,0.00,0.00
j901_9.data,N/A,error,0.00,0.00
j9020_1.data,N/A,error,0.00,0.00
j9020_10.data,N/A,error,0.00,0.00
j9020_2.data,N/A,error,0.00,0.00
j9020_3.data,N/A,error,0.00,0.00
j9020_4.data,N/A,error,0.00,0.00
j9020_5.data,N/A,error,0.00,0.00
j9020_6.data,N/A,error,0.00,0.00
j9020_7.data,N/A,error,0.00,0.00
j9020_8.data,N/A,error,0.00,0.00
j9020_9.data,N/A,error,0.00,0.00
j9021_1.data,N/A,error,0.00,0.00
j9021_10.data,N/A,error,0.00,0.00
j9021_2.data,N/A,error,0.00,0.00
j9021_3.data,N/A,error,0.00,0.00
j9021_4.data,N/A,error,0.00,0.00
j9021_5.data,N/A,error,0.00,0.00
j9021_6.data,N/A,error,0.00,0.00
j9021_7.data,N/A,error,0.00,0.00
j9021_8.data,N/A,error,0.00,0.00
j9021_9.data,N/A,error,0.00,0.01
j9022_1.data,N/A,error,0.00,0.00
j9022_10.data,N/A,error,0.00,0.00
j9022_2.data,N/A,error,0.00,0.00
j9022_3.data,N/A,error,0.00,0.00
j9022_4.data,N/A,error,0.00,0.00
j9022_5.data,N/A,error,0.00,0.00
j9022_6.data,N/A,error,0.00,0.00
j9022_7.data,N/A,error,0.00,0.00
j9022_8.data,N/A,error,0.00,0.00
j9022_9.data,N/A,error,0.00,0.00
j9023_1.data,N/A,error,0.00,0.01
j9023_10.data,N/A,error,0.00,0.00
j9023_2.data,N/A,error,0.00,0.01
j9023_3.data,N/A,error,0.00,0.00
j9023_4.data,N/A,error,0.00,0.00
j9023_5.data,N/A,error,0.00,0.00
j9023_6.data,N/A,error,0.00,0.00
j9023_7.data,N/A,error,0.00,0.00
j9023_8.data,N/A,error,0.00,0.00
j9023_9.data,N/A,error,0.00,0.00
j9024_1.data,N/A,error,0.00,0.00
j9024_10.data,N/A,error,0.00,0.00
j9024_2.data,N/A,error,0.00,0.00
j9024_3.data,N/A,error,0.00,0.00
j9024_4.data,N/A,error,0.00,0.00
j9024_5.data,N/A,error,0.00,0.01
j9024_6.data,N/A,error,0.00,0.00
j9024_7.data,N/A,error,0.00,0.00
j9024_8.data,N/A,error,0.00,0.00
j9024_9.data,N/A,error,0.00,0.00
j9025_1.data,N/A,error,0.00,0.00
j9025_10.data,N/A,error,0.00,0.00
j9025_2.data,N/A,error,0.00,0.00
j9025_3.data,N/A,error,0.00,0.00
j9025_4.data,N/A,error,0.00,0.00
j9025_5.data,N/A,error,0.00,0.00
j9025_6.data,N/A,error,0.00,0.00
j9025_7.data,N/A,error,0.00,0.00
j9025_8.data,N/A,error,0.00,0.00
j9025_9.data,N/A,error,0.00,0.00
j9026_1.data,N/A,error,0.00,0.00
j9026_10.data,N/A,error,0.00,0.01
j9026_2.data,N/A,error,0.00,0.00
j9026_3.data,N/A,error,0.00,0.00
j9026_4.data,N/A,error,0.00,0.00
j9026_5.data,N/A,error,0.00,0.00
j9026_6.data,N/A,error,0.00,0.00
j9026_7.data,N/A,error,0.00,0.00
j9026_8.data,N/A,error,0.00,0.00
j9026_9.data,N/A,error,0.00,0.00
j9027_1.data,N/A,error,0.00,0.00
j9027_10.data,N/A,error,0.00,0.00
j9027_2.data,N/A,error,0.00,0.00
j9027_3.data,N/A,error,0.00,0.00
j9027_4.data,N/A,error,0.00,0.00
j9027_5.data,N/A,error,0.00,0.00
j9027_6.data,N/A,error,0.00,0.00
j9027_7.data,N/A,error,0.00,0.00
j9027_8.data,N/A,error,0.00,0.00
j9027_9.data,N/A,error,0.00,0.01
j9028_1.data,N/A,error,0.00,0.00
j9028_10.data,N/A,error,0.00,0.00
j9028_2.data,N/A,error,0.00,0.00
j9028_3.data,N/A,error,0.00,0.00
j9028_4.data,N/A,error,0.00,0.00
j9028_5.data,N/A,error,0.00,0.00
j9028_6.data,N/A,error,0.00,0.00
j9028_7.data,N/A,error,0.00,0.00
j9028_8.data,N/A,error,0.00,0.00
j9028_9.data,N/A,error,0.00,0.00
j9029_1.data,N/A,error,0.00,0.00
j9029_10.data,N/A,error,0.00,0.00
j9029_2.data,N/A,error,0.00,0.00
j9029_3.data,N/A,error,0.00,0.00
j9029_4.data,N/A,error,0.00,0.00
j9029_5.data,N/A,error,0.00,0.00
j9029_6.data,N/A,error,0.00,0.00
j9029_7.data,N/A,error,0.00,0.00
j9029_8.data,N/A,error,0.00,0.00
j9029_9.data,N/A,error,0.00,0.00
j902_1.data,N/A,error,0.00,0.00
j902_10.data,N/A,error,0.00,0.00
j902_2.data,N/A,error,0.00,0.02
j902_3.data,N/A,error,0.00,0.00
j902_4.data,N/A,error,0.00,0.00
j902_5.data,N/A,error,0.00,0.00
j902_6.data,N/A,error,0.00,0.00
j902_7.data,N/A,error,0.00,0.00
j902_8.data,N/A,error,0.00,0.00
j902_9.data,N/A,error,0.00,0.00
j9030_1.data,N/A,error,0.00,0.00
j9030_10.data,N/A,error,0.00,0.00
j9030_2.data,N/A,error,0.00,0.00
j9030_3.data,N/A,error,0.00,0.00
j9030_4.data,N/A,error,0.00,0.00
j9030_5.data,N/A,error,0.00,0.00
j9030_6.data,N/A,error,0.00,0.00
j9030_7.data,N/A,error,0.00,0.00
j9030_8.data,N/A,error,0.00,0.00
j9030_9.data,N/A,error,0.00,0.00
j9031_1.data,N/A,error,0.00,0.00
j9031_10.data,N/A,error,0.00,0.00
j9031_2.data,N/A,error,0.00,0.00
j9031_3.data,N/A,error,0.00,0.00
j9031_4.data,N/A,error,0.00,0.00
j9031_5.data,N/A,error,0.00,0.00
j9031_6.data,N/A,error,0.00,0.00
j9031_7.data,N/A,error,0.00,0.01
j9031_8.data,N/A,error,0.00,0.00
j9031_9.data,N/A,error,0.00,0.00
j9032_1.data,N/A,error,0.00,0.00
j9032_10.data,N/A,error,0.00,0.01
j9032_2.data,N/A,error,0.00,0.00
j9032_3.data,N/A,error,0.00,0.00
j9032_4.data,N/A,error,0.00,0.00
j9032_5.data,N/A,error,0.00,0.00
j9032_6.data,N/A,error,0.00,0.00
j9032_7.data,N/A,error,0.00,0.00
j9032_8.data,N/A,error,0.00,0.00
j9032_9.data,N/A,error,0.00,0.00
j9033_1.data,N/A,error,0.00,0.00
j9033_10.data,N/A,error,0.00,0.00
j9033_2.data,N/A,error,0.00,0.00
j9033_3.data,N/A,error,0.00,0.00
j9033_4.data,N/A,error,0.00,0.00
j9033_5.data,N/A,error,0.00,0.00
j9033_6.data,N/A,error,0.00,0.00
j9033_7.data,N/A,error,0.00,0.00
j9033_8.data,N/A,error,0.00,0.00
j9033_9.data,N/A,error,0.00,0.00
j9034_1.data,N/A,error,0.00,0.00
j9034_10.data,N/A,error,0.00,0.00
j9034_2.data,N/A,error,0.00,0.00
j9034_3.data,N/A,error,0.00,0.00
j9034_4.data,N/A,error,0.00,0.00
j9034_5.data,N/A,error,0.00,0.00
j9034_6.data,N/A,error,0.00,0.00
j9034_7.data,N/A,error,0.00,0.00
j9034_8.data,N/A,error,0.00,0.00
j9034_9.data,N/A,error,0.00,0.00
j9035_1.data,N/A,error,0.00,0.00
j9035_10.data,N/A,error,0.00,0.00
j9035_2.data,N/A,error,0.00,0.00
j9035_3.data,N/A,error,0.00,0.00
j9035_4.data,N/A,error,0.00,0.00
j9035_5.data,N/A,error,0.00,0.00
j9035_6.data,N/A,error,0.00,0.00
j9035_7.data,N/A,error,0.00,0.00
j9035_8.data,N/A,error,0.00,0.00
j9035_9.data,N/A,error,0.00,0.00
j9036_1.data,N/A,error,0.00,0.00
j9036_10.data,N/A,error,0.00,0.00
j9036_2.data,N/A,error,0.00,0.00
j9036_3.data,N/A,error,0.00,0.00
j9036_4.data,N/A,error,0.00,0.00
j9036_5.data,N/A,error,0.00,0.00
j9036_6.data,N/A,error,0.00,0.00
j9036_7.data,N/A,error,0.00,0.00
j9036_8.data,N/A,error,0.00,0.00
j9036_9.data,N/A,error,0.00,0.00
j9037_1.data,N/A,error,0.00,0.00
j9037_10.data,N/A,error,0.00,0.00
j9037_2.data,N/A,error,0.00,0.00
j9037_3.data,N/A,error,0.00,0.00
j9037_4.data,N/A,error,0.00,0.00
j9037_5.data,N/A,error,0.00,0.00
j9037_6.data,N/A,error,0.00,0.00
j9037_7.data,N/A,error,0.00,0.00
j9037_8.data,N/A,error,0.00,0.00
j9037_9.data,N/A,error,0.00,0.00
j9038_1.data,N/A,error,0.00,0.00
j9038_10.data,N/A,error,0.00,0.00
j9038_2.data,N/A,error,0.00,0.00
j9038_3.data,N/A,error,0.00,0.00
j9038_4.data,N/A,error,0.00,0.00
j9038_5.data,N/A,error,0.00,0.00
j9038_6.data,N/A,error,0.00,0.00
j9038_7.data,N/A,error,0.00,0.00
j9038_8.data,N/A,error,0.00,0.00
j9038_9.data,N/A,error,0.00,0.00
j9039_1.data,N/A,error,0.00,0.01
j9039_10.data,N/A,error,0.00,0.02
j9039_2.data,N/A,error,0.00,0.00
j9039_3.data,N/A,error,0.00,0.00
j9039_4.data,N/A,error,0.00,0.00
j9039_5.data,N/A,error,0.00,0.00
j9039_6.data,N/A,error,0.00,0.00
j9039_7.data,N/A,error,0.00,0.00
j9039_8.data,N/A,error,0.00,0.00
j9039_9.data,N/A,error,0.00,0.00
j903_1.data,N/A,error,0.00,0.00
j903_10.data,N/A,error,0.00,0.00
j903_2.data,N/A,error,0.00,0.00
j903_3.data,N/A,error,0.00,0.00
j903_4.data,N/A,error,0.00,0.00
j903_5.data,N/A,error,0.00,0.00
j903_6.data,N/A,error,0.00,0.00
j903_7.data,N/A,error,0.00,0.00
j903_8.data,N/A,error,0.00,0.00
j903_9.data,N/A,error,0.00,0.00
j9040_1.data,N/A,error,0.00,0.00
j9040_10.data,N/A,error,0.00,0.00
j9040_2.data,N/A,error,0.00,0.00
j9040_3.data,N/A,error,0.00,0.00
j9040_4.data,N/A,error,0.00,0.00
j9040_5.data,N/A,error,0.00,0.00
j9040_6.data,N/A,error,0.00,0.00
j9040_7.data,N/A,error,0.00,0.00
j9040_8.data,N/A,error,0.00,0.00
j9040_9.data,N/A,error,0.00,0.00
j9041_1.data,N/A,error,0.00,0.00
j9041_10.data,N/A,error,0.00,0.00
j9041_2.data,N/A,error,0.00,0.00
j9041_3.data,N/A,error,0.00,0.00
j9041_4.data,N/A,error,0.00,0.00
j9041_5.data,N/A,error,0.00,0.00
j9041_6.data,N/A,error,0.00,0.00
j9041_7.data,N/A,error,0.00,0.00
j9041_8.data,N/A,error,0.00,0.00
j9041_9.data,N/A,error,0.00,0.00
j9042_1.data,N/A,error,0.00,0.00
j9042_10.data,N/A,error,0.00,0.00
j9042_2.data,N/A,error,0.00,0.00
j9042_3.data,N/A,error,0.00,0.00
j9042_4.data,N/A,error,0.00,0.00
j9042_5.data,N/A,error,0.00,0.00
j9042_6.data,N/A,error,0.00,0.00
j9042_7.data,N/A,error,0.00,0.00
j9042_8.data,N/A,error,0.00,0.00
j9042_9.data,N/A,error,0.00,0.00
j9043_1.data,N/A,error,0.00,0.00
j9043_10.data,N/A,error,0.00,0.00
j9043_2.data,N/A,error,0.00,0.00
j9043_3.data,N/A,error,0.00,0.00
j9043_4.data,N/A,error,0.00,0.01
j9043_5.data,N/A,error,0.00,0.00
j9043_6.data,N/A,error,0.00,0.00
j9043_7.data,N/A,error,0.00,0.00
j9043_8.data,N/A,error,0.00,0.00
j9043_9.data,N/A,error,0.00,0.00
j9044_1.data,N/A,error,0.00,0.00
j9044_10.data,N/A,error,0.00,0.00
j9044_2.data,N/A,error,0.00,0.00
j9044_3.data,N/A,error,0.00,0.00
j9044_4.data,N/A,error,0.00,0.00
j9044_5.data,N/A,error,0.00,0.00
j9044_6.data,N/A,error,0.00,0.00
j9044_7.data,N/A,error,0.00,0.00
j9044_8.data,N/A,error,0.00,0.00
j9044_9.data,N/A,error,0.00,0.00
j9045_1.data,N/A,error,0.00,0.00
j9045_10.data,N/A,error,0.00,0.00
j9045_2.data,N/A,error,0.00,0.00
j9045_3.data,N/A,error,0.00,0.00
j9045_4.data,N/A,error,0.00,0.00
j9045_5.data,N/A,error,0.00,0.00
j9045_6.data,N/A,error,0.00,0.00
j9045_7.data,N/A,error,0.00,0.00
j9045_8.data,N/A,error,0.00,0.00
j9045_9.data,N/A,error,0.00,0.00
j9046_1.data,N/A,error,0.00,0.00
j9046_10.data,N/A,error,0.00,0.00
j9046_2.data,N/A,error,0.00,0.00
j9046_3.data,N/A,error,0.00,0.00
j9046_4.data,N/A,error,0.00,0.00
j9046_5.data,N/A,error,0.00,0.00
j9046_6.data,N/A,error,0.00,0.00
j9046_7.data,N/A,error,0.00,0.00
j9046_8.data,N/A,error,0.00,0.00
j9046_9.data,N/A,error,0.00,0.00
j9047_1.data,N/A,error,0.00,0.00
j9047_10.data,N/A,error,0.00,0.00
j9047_2.data,N/A,error,0.00,0.00
j9047_3.data,N/A,error,0.00,0.00
j9047_4.data,N/A,error,0.00,0.00
j9047_5.data,N/A,error,0.00,0.00
j9047_6.data,N/A,error,0.00,0.00
j9047_7.data,N/A,error,0.00,0.00
j9047_8.data,N/A,error,0.00,0.00
j9047_9.data,N/A,error,0.00,0.00
j9048_1.data,N/A,error,0.00,0.00
j9048_10.data,N/A,error,0.00,0.00
j9048_2.data,N/A,error,0.00,0.00
j9048_3.data,N/A,error,0.00,0.00
j9048_4.data,N/A,error,0.00,0.00
j9048_5.data,N/A,error,0.00,0.00
j9048_6.data,N/A,error,0.00,0.00
j9048_7.data,N/A,error,0.00,0.00
j9048_8.data,N/A,error,0.00,0.00
j9048_9.data,N/A,error,0.00,0.00
j904_1.data,N/A,error,0.00,0.00
j904_10.data,N/A,error,0.00,0.00
j904_2.data,N/A,error,0.00,0.00
j904_3.data,N/A,error,0.00,0.00
j904_4.data,N/A,error,0.00,0.00
j904_5.data,N/A,error,0.00,0.00
j904_6.data,N/A,error,0.00,0.00
j904_7.data,N/A,error,0.00,0.00
j904_8.data,N/A,error,0.00,0.00
j904_9.data,N/A,error,0.00,0.00
j905_1.data,N/A,error,0.00,0.00
j905_10.data,N/A,error,0.00,0.00
j905_2.data,N/A,error,0.00,0.00
j905_3.data,N/A,error,0.00,0.00
j905_4.data,N/A,error,0.00,0.00
j905_5.data,N/A,error,0.00,0.00
j905_6.data,N/A,error,0.00,0.00
j905_7.data,N/A,error,0.00,0.00
j905_8.data,N/A,error,0.00,0.00
j905_9.data,N/A,error,0.00,0.00
j906_1.data,N/A,error,0.00,0.00
j906_10.data,N/A,error,0.00,0.00
j906_2.data,N/A,error,0.00,0.00
j906_3.data,N/A,error,0.00,0.00
j906_4.data,N/A,error,0.00,0.00
j906_5.data,N/A,error,0.00,0.00
j906_6.data,N/A,error,0.00,0.00
j906_7.data,N/A,error,0.00,0.00
j906_8.data,N/A,error,0.00,0.00
j906_9.data,N/A,error,0.00,0.00
j907_1.data,N/A,error,0.00,0.00
j907_10.data,N/A,error,0.00,0.00
j907_2.data,N/A,error,0.00,0.00
j907_3.data,N/A,error,0.00,0.00
j907_4.data,N/A,error,0.00,0.00
j907_5.data,N/A,error,0.00,0.00
j907_6.data,N/A,error,0.00,0.00
j907_7.data,N/A,error,0.00,0.00
j907_8.data,N/A,error,0.00,0.00
j907_9.data,N/A,error,0.00,0.00
j908_1.data,N/A,error,0.00,0.00
j908_10.data,N/A,error,0.00,0.00
j908_2.data,N/A,error,0.00,0.00
j908_3.data,N/A,error,0.00,0.00
j908_4.data,N/A,error,0.00,0.00
j908_5.data,N/A,error,0.00,0.00
j908_6.data,N/A,error,0.00,0.00
j908_7.data,N/A,error,0.00,0.00
j908_8.data,N/A,error,0.00,0.00
j908_9.data,N/A,error,0.00,0.00
j909_1.data,N/A,error,0.00,0.00
j909_10.data,N/A,error,0.00,0.00
j909_2.data,N/A,error,0.00,0.00
j909_3.data,N/A,error,0.00,0.00
j909_4.data,N/A,error,0.00,0.00
j909_5.data,N/A,error,0.00,0.00
j909_6.data,N/A,error,0.00,0.00
j909_7.data,N/A,error,0.00,0.00
j909_8.data,N/A,error,0.00,0.00
j909_9.data,N/A,error,0.00,0.00
